,isbn,title,author,avg_rating,count_rating,count_reviews,date_published,top_genre,genre1,genre2,genre3
5056,9781943796083,,,,,,,,,,
5057,9781250099679,After Anna,Lisa Scottoline,3.85,40288.0,4421.0,2018-04-10,"Mystery, Fiction, Thriller, Audiobook, Suspense, Mystery Thriller, Adult Fiction",Mystery,Fiction,Thriller
5058,9781501171697,I've Got My Eyes on You,Mary Higgins Clark,3.76,20268.0,1960.0,2018-04-03,"Mystery, Fiction, Thriller, Audiobook, Mystery Thriller, Suspense, Crime",Mystery,Fiction,Thriller
5059,9781945253430,Wild in Love,Bella Andre,4.16,2738.0,263.0,2018-04-25,"Romance, Contemporary Romance, Contemporary, Fiction, Amazon, Chick Lit, Adult Fiction",Romance,Contemporary Romance,Contemporary
5060,9781488023552,The Family Gathering,Robyn Carr,4.2,11436.0,763.0,2018-04-17,"Romance, Fiction, Contemporary Romance, Contemporary, Chick Lit, Audiobook, Adult",Romance,Fiction,Contemporary Romance
5061,9780062433978,Noir,Christopher Moore,3.79,14931.0,2221.0,2018-01-01,"Fiction, Humor, Mystery, Historical Fiction, Noir, Audiobook, Comedy",Fiction,Humor,Mystery
5062,9781501154669,Then She Was Gone,Lisa Jewell,4.06,525133.0,40246.0,2017-07-27,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Crime",Mystery,Thriller,Fiction
5063,9780735217225,,,,,,,,,,
5064,9781101883969,The Right Time: A Novel,Danielle Steel,4.22,10821.0,743.0,2017-01-01,"Romance, Fiction, Audiobook, Chick Lit, Womens Fiction, Adult, Adult Fiction",Romance,Fiction,Audiobook
5065,9780062678416,The Woman in the Window,A.J. Finn,3.96,718356.0,56965.0,2018-01-02,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Crime",Thriller,Mystery,Fiction
5066,9780316395588,Red Alert,James Patterson,4.12,14292.0,790.0,2018-03-26,"Mystery, Fiction, Thriller, Crime, Audiobook, Suspense, Mystery Thriller",Mystery,Fiction,Thriller
5067,9780698192997,The Thief,J.R. Ward,4.26,20788.0,1797.0,2018-04-10,"Paranormal, Romance, Vampires, Paranormal Romance, Fantasy, Urban Fantasy, Adult",Paranormal,Romance,Vampires
5068,9781501138218,The Sixth Day,Catherine Coulter,4.1,5479.0,624.0,2018-04-10,"Mystery, Thriller, Fiction, Suspense, Mystery Thriller, Crime, Contemporary",Mystery,Thriller,Fiction
5069,9781455536412,The Cutting Edge,Jeffery Deaver,4.05,11091.0,872.0,2018-04-10,"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Suspense, Audiobook",Mystery,Thriller,Fiction
5070,9780316556347,Circe,Madeline Miller,4.25,881438.0,87284.0,2018-04-10,"Fantasy, Fiction, Mythology, Historical Fiction, Greek Mythology, Retellings, Audiobook",Fantasy,Fiction,Mythology
5071,9781501171680,I've Got My Eyes on You,Mary Higgins Clark,3.76,20268.0,1960.0,2018-04-03,"Mystery, Fiction, Thriller, Audiobook, Mystery Thriller, Suspense, Crime",Mystery,Fiction,Thriller
5072,9781942215837,,,,,,,,,,
5073,9780316395441,Red Alert,James Patterson,4.12,14292.0,790.0,2018-03-26,"Mystery, Fiction, Thriller, Crime, Audiobook, Suspense, Mystery Thriller",Mystery,Fiction,Thriller
5074,9780399176623,The Disappeared,C.J. Box,4.24,17176.0,1385.0,2018-03-20,"Mystery, Fiction, Thriller, Westerns, Crime, Audiobook, Suspense",Mystery,Fiction,Thriller
5075,9780062391940,Cave of Bones,Anne Hillerman,3.99,7458.0,869.0,2018-04-03,"Mystery, Fiction, Audiobook, Westerns, Mystery Thriller, Crime, Thriller",Mystery,Fiction,Audiobook
5076,9780525533221,The Female Persuasion,Meg Wolitzer,3.56,53472.0,5477.0,2018-04-03,"Fiction, Feminism, Contemporary, Literary Fiction, Audiobook, Adult Fiction, Adult",Fiction,Feminism,Contemporary
5077,9780345548559,Scourged,Kevin Hearne,3.98,13708.0,1424.0,2018-04-03,"Fantasy, Urban Fantasy, Fiction, Audiobook, Magic, Mythology, Paranormal",Fantasy,Urban Fantasy,Fiction
5078,9781101988848,Golden Prey,John Sandford,4.3,22689.0,1825.0,2017-04-25,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Detective",Mystery,Fiction,Thriller
5079,9781501131127,"All By Myself, Alone",Mary Higgins Clark,3.67,14585.0,1373.0,2017-04-04,"Mystery, Fiction, Audiobook, Thriller, Suspense, Mystery Thriller, Crime",Mystery,Fiction,Audiobook
5080,9780698410114,The Disappeared,C.J. Box,4.24,17176.0,1385.0,2018-03-20,"Mystery, Fiction, Thriller, Westerns, Crime, Audiobook, Suspense",Mystery,Fiction,Thriller
5081,9781101884096,Accidental Heroes: A Novel,Danielle Steel,4.11,10563.0,849.0,2018-03-20,"Fiction, Romance, Thriller, Mystery, Audiobook, Chick Lit, Adult Fiction",Fiction,Romance,Thriller
5082,9780062436658,To Die But Once,Jacqueline Winspear,4.22,15441.0,1524.0,2018-03-27,"Mystery, Historical Fiction, Fiction, Historical, World War II, Audiobook, British Literature",Mystery,Historical Fiction,Fiction
5083,9780062468871,Twice Bitten,Lynsay Sands,4.29,5013.0,454.0,2018-03-27,"Romance, Paranormal, Vampires, Paranormal Romance, Fantasy, Fiction, Contemporary",Romance,Paranormal,Vampires
5084,9781455559510,The Escape Artist,Brad Meltzer,3.81,20940.0,1945.0,2018-03-06,"Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Audiobook, Crime",Thriller,Fiction,Mystery
5085,9781943796069,Savage Prince,Meghan March,4.21,12977.0,1123.0,2018-03-27,"Romance, Contemporary Romance, Erotica, Contemporary, BDSM, Dark, Adult",Romance,Contemporary Romance,Erotica
5086,9781476706146,Red Sparrow,Jason  Matthews,3.95,52771.0,4703.0,2013-06-04,"Fiction, Thriller, Mystery, Espionage, Mystery Thriller, Audiobook, Russia",Fiction,Thriller,Mystery
5087,9781101884102,Accidental Heroes,Danielle Steel,4.11,10563.0,849.0,2018-03-20,"Fiction, Romance, Thriller, Mystery, Audiobook, Chick Lit, Adult Fiction",Fiction,Romance,Thriller
5088,9780698411654,The Punishment She Deserves,Elizabeth  George,4.19,16555.0,1945.0,2018-03-20,"Mystery, Fiction, Crime, Mystery Thriller, Audiobook, British Literature, Thriller",Mystery,Fiction,Crime
5089,9781250140234,The Bishop's Pawn,Steve Berry,4.02,9264.0,981.0,2018-03-20,"Thriller, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Audiobook",Thriller,Fiction,Historical Fiction
5090,9780451489883,Covert Game,Christine Feehan,4.38,5062.0,435.0,2018-03-20,"Paranormal, Romance, Paranormal Romance, Military Fiction, Fantasy, Suspense, Romantic Suspense",Paranormal,Romance,Paranormal Romance
5091,9780735215535,The Rising Sea,Clive Cussler,4.21,5819.0,350.0,2018-03-13,"Fiction, Adventure, Thriller, Action, Mystery, Audiobook, Suspense",Fiction,Adventure,Thriller
5092,9780802165619,The Temptation of Forgiveness,Donna Leon,3.92,7919.0,696.0,2018-03-20,"Mystery, Fiction, Italy, Crime, Mystery Thriller, Audiobook, Thriller",Mystery,Fiction,Italy
5093,9780735215542,The Rising Sea,Clive Cussler,4.21,5819.0,350.0,2018-03-13,"Fiction, Adventure, Thriller, Action, Mystery, Audiobook, Suspense",Fiction,Adventure,Thriller
5094,9780525620921,Dearest Ivie,J.R. Ward,4.33,12155.0,1305.0,2018-03-13,"Paranormal, Romance, Paranormal Romance, Vampires, Fantasy, Novella, Urban Fantasy",Paranormal,Romance,Paranormal Romance
5095,9780385542425,The Flight Attendant,Chris Bohjalian,3.53,80838.0,8441.0,2018-03-13,"Fiction, Mystery, Thriller, Audiobook, Mystery Thriller, Suspense, Adult",Fiction,Mystery,Thriller
5096,9781455586585,The Fix,David Baldacci,4.17,71132.0,4162.0,2017-04-18,"Mystery, Fiction, Thriller, Audiobook, Crime, Suspense, Mystery Thriller",Mystery,Fiction,Thriller
5097,9780735212787,Caribbean Rim,Randy Wayne White,3.57,2257.0,188.0,2018-03-13,"Mystery, Fiction, Thriller, Audiobook, Crime, Suspense, Adventure",Mystery,Fiction,Thriller
5098,9781449486792,the sun and her flowers,Rupi Kaur,4.11,308219.0,17476.0,2018-09-18,"Poetry, Feminism, Nonfiction, Adult, Contemporary, Romance, Mental Health",Poetry,Feminism,Nonfiction
5099,9780698195837,Burn Bright,Patricia Briggs,4.33,27009.0,2338.0,2018-03-06,"Urban Fantasy, Fantasy, Paranormal, Romance, Werewolves, Shapeshifters, Paranormal Romance",Urban Fantasy,Fantasy,Paranormal
5100,9781524797119,The Last Jedi,Jason Fry,3.94,7320.0,1007.0,2018-03-06,"Star Wars, Science Fiction, Fiction, Fantasy, Audiobook, Adventure, Science Fiction Fantasy",Star Wars,Science Fiction,Fiction
5101,9780062419033,The Woman Left Behind,Linda Howard,4.13,10338.0,1161.0,2018-03-06,"Romance, Romantic Suspense, Contemporary, Suspense, Fiction, Thriller, Contemporary Romance",Romance,Romantic Suspense,Contemporary
5102,9780399593673,High Voltage,Karen Marie Moning,4.31,15656.0,1634.0,2018-03-06,"Fantasy, Urban Fantasy, Paranormal, Romance, Fae, Paranormal Romance, Adult",Fantasy,Urban Fantasy,Paranormal
5103,9780316513227,Fifty Fifty,James Patterson,3.92,14505.0,1053.0,2017-07-27,"Mystery, Fiction, Thriller, Crime, Audiobook, Mystery Thriller, Suspense",Mystery,Fiction,Thriller
